path	license_class	spdx	copyright	flags	binary
api/gossiper.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/gossiper.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/hinted_handoff.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/hinted_handoff.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/lsa.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/lsa.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/messaging_service.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/messaging_service.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/raft.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2024-present ScyllaDB		no
api/raft.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
api/scrub_status.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
api/storage_proxy.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/storage_proxy.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/storage_service.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/storage_service.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/stream_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/stream_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/system.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/system.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2015-present ScyllaDB		no
api/task_manager.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/task_manager.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/task_manager_test.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/task_manager_test.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/tasks.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2022-present ScyllaDB		no
api/tasks.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
api/token_metadata.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
api/token_metadata.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2023-present ScyllaDB		no
auth/CMakeLists.txt	unknown-license				no
auth/allow_all_authenticator.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/allow_all_authenticator.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/allow_all_authorizer.cc	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
auth/allow_all_authorizer.hh	AGPL-only	AGPL-3.0-or-later	Copyright (C) 2017-present ScyllaDB		no
